Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
52306955570,"(HÀNG VIỆT NAM CHẤT LƯỢNG CAO) Khăn giấy cao cấp Mộc an Topgia hàng Việt Nam 4 lớp, dày dặn, an toàn cho da","100,0k",10k+,TopGia HCM,14%,₫14.000,https://shopee.vn/product/729014007/52306955570,https://s.shopee.vn/16RSzTb5s
24784419313,"Máy Xay Sinh Tố Máy Xay Cầm Tay 12 Lưỡi Dao Dung Tích Lớn 340 ML, Nắp Đôi","208,0k",8k+,ONR Thiết bị gia dụng _VN,14%,₫29.120,https://shopee.vn/product/1325233045/24784419313,https://s.shopee.vn/BPrfISxkv
25219455538,"Áo chống nắng nữ chống tia cực tím UPF50+ chống tia UV chất lụa nhẹ, thoáng mát free size đến 75kg","75,0k",60k+,"Xưởng May Áo Nắng,Áo polo",14%,₫10.500,https://shopee.vn/product/23190430/25219455538,https://s.shopee.vn/LjHrbSKPy
29500991688,Quạt tích điện PTLUXURY kẹp bàn mini để bàn có đèn led pin 5000 MHA Và 10000 MHA [ HÀNG CHÍNH HÃNG ],"65,0k",30k+,PLSHARK,4%,₫2.600,https://shopee.vn/product/1157721162/29500991688,https://s.shopee.vn/W2i3uRh51
24906420433,Cây lau nhà tự vắt bàn lau lớn 45cm tiện lợi chổi lau nhà 3 trong 1 lau khô đa năng cây lau nhà vắt phẳng GOMOP M1,"195,0k",40k+,MiniHome - Home Helper,9%,₫17.550,https://shopee.vn/product/277024248/24906420433,https://s.shopee.vn/gM8GDR3k4
25385749236,"Áo khoác tập gym yoga nữ, áo khoác chống nắng ôm sát co giãn thấm hút mồ hôi size từ 40-70kg YLYSPORT A05","99,0k",40k+,YLYSPORT,17%,₫16.830,https://shopee.vn/product/42210188/25385749236,https://s.shopee.vn/qfYSWQQP7
26305985298,"[Choice] Mũ lưỡi trai nam nữJussy Official thêu hình gấu bắc cực, nón lưỡi trai vải kaki form mềm cá tính","55,0k",10k+,Jussy Official,15%,₫8.250,https://shopee.vn/product/22431875/26305985298,https://s.shopee.vn/10yyepPn4A
2608753400,Kính Cường Lực iPhone KK 4D Cao Cấp Full Màn iPhone 6/6s/7/8/Plus/X/XS/XR/11/12/13/14/15/16/17/Pro/Max/Mini/Air,"16,5k",2tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,23%,₫3.795,https://shopee.vn/product/89827191/2608753400,https://s.shopee.vn/1BIOr8P9jD
19192149998,"[LOẠI TO ĐẶC BIỆT] Thùng 8 bịch khăn giấy rút Top Gia treo tường đa sắc 1280 tờ, siêu dai và mềm mịn","129,0k",500k+,TopGia HCM Store,13%,₫16.770,https://shopee.vn/product/1016604648/19192149998,https://s.shopee.vn/40caELEMym
23463900701,"Bông Tẩy Trang MÉERY Chính Hãng, Bông Tẩy Trang Meery 205 Miếng 100% Cotton Pads","28,9k",300k+,Harumi - thế giới bông,7%,₫2.024,https://shopee.vn/product/1039266580/23463900701,https://s.shopee.vn/4Aw0QeDjdp
26932691195,"Combo 60 miếng dán vết thương, chống nước trong suốt siêu dính","17,0k",50k+,Tổng kho An Vũ,9%,₫1.532,https://shopee.vn/product/163364638/26932691195,https://s.shopee.vn/4LFQcxD6Is
28517496460,Quạt Cầm Tay PLSHARK 100 Mức Độ Gió Động Cơ Turbo Dung Lượng Pin 5000 mmAh [ BẢO HÀNH 6 THÁNG ],"75,0k",30k+,FEITINE_5555,4%,₫3.000,https://shopee.vn/product/1243360702/28517496460,https://s.shopee.vn/4VYqpGCSxv
26618832095,Khăn giấy rút Top Gia GiaGia treo tường đa năng 1000 tờ 4 lớp tặng 3 móc treo,"100,0k",300k+,TopGia HCM,14%,₫14.000,https://shopee.vn/product/729014007/26618832095,https://s.shopee.vn/4fsH1ZBpcy
21391495678,Đồng hồ đeo tay thể thao kỹ thuật số bằng cao su mềm có đèn LED phi hành gia thời trang dành cho nam và nữ,"14,5k",40k+,Tuấn Minh 2018,4%,₫580,https://shopee.vn/product/595016161/21391495678,https://s.shopee.vn/4qBhDsBCI1
16447945295,"[38-80kg] Áo chống nắng nữ 2 lớp vải kim cương thoáng mát hàng loại 1 thiết kế che trán,vành mũ chống nắng,co giãn 4c","148,0k",10k+,Xưởng Sỉ Anh Quân,11%,₫16.280,https://shopee.vn/product/538078718/16447945295,https://s.shopee.vn/50V7QBAYx4
26786824815,JAMAY Quạt cầm tay có thể sạc lại với có Sò lạnh 199 tốc độ gió Pin lớn 24h sử dụng Gập 180° màn hình LED F5PRO B,"349,0k",6k+,Jamay,6%,₫20.940,https://shopee.vn/product/1542386428/26786824815,https://s.shopee.vn/5AoXcU9vc7
43670888876,"Cây Lau Nhà Tự Vắt KITIMOP CORAL Mã KTMC-01, Chổi Lau Nhà Tự Vắt Thông Minh Xoay 360 Độ, 2 Bông Lau","189,0k",80k+,Kitimop Official Store,7%,₫13.230,https://shopee.vn/product/76219330/43670888876,https://s.shopee.vn/2g7CdtJRge
8675360402,"COMBO TIẾT KIỆM (1kg-3kg) Yến Mạch Cán Dẹt 0.9mm DK Harvest -Nhập Khẩu Úc | Ngũ Cốc Dinh Dưỡng, eatclean","59,0k",100k+,DK HARVEST OFFICIAL STORE,14%,₫8.260,https://shopee.vn/product/273650958/8675360402,https://s.shopee.vn/2qQcqCIoLh
26310631009,"Đai chống gù lưng JUSTFIT, hỗ trợ định hình, cải thiện vóc dáng, có nẹp hỗ trợ thẳng lưng điều chỉnh dáng đi cơ thể","178,0k",400k+,JUSTFIT | CHUẨN VÓC DÁNG,10%,₫17.800,https://shopee.vn/product/231426864/26310631009,https://s.shopee.vn/30k32VIB0k
27343919517,"JisuLife Handheld Fan 7 QUẠT CẦM TAY MINI JISULIFE GẬP GỌN, PIN 46HQUẠT ĐEO CỔ ĐỂ BÀN, CHẠY ÊM, CHO HỌC SINH VĂN PHÒNG","339,0k",4k+,JisuLife Official Store,8%,₫27.120,https://shopee.vn/product/1620166169/27343919517,https://s.shopee.vn/3B3TEoHXfn
26087225781,"[MUA 2 TẶNG 1] Nước Tẩy Bồn Cầu Flashman 500g – Diệt Khuẩn 99.9% – Khử Mùi, Tẩy Sạch Vết Bẩn","109,0k",400k+,FLASHMAN VN,16%,₫17.440,https://shopee.vn/product/1500204576/26087225781,https://s.shopee.vn/3LMtR7GuKq
22287079440,KHĂN VẢI KHÔ ĐA NĂNG DÀNH CHO MẸ VÀ BÉ GUMI 300/600/ 900g,"54,0k",200k+,Gumivn,14%,₫7.560,https://shopee.vn/product/801176484/22287079440,https://s.shopee.vn/3VgJdQGGzt
43704321704,"Áo Khoác Chống Nắng Nam Nữ 2 Lớp,Thiết Kế Che Trán Thông Minh,Vải Thông Hơi Co Giãn,Mềm Mịn,Thoáng Mát,Chống Tia UV-ACT","128,0k",2k+,Xưởng Sỉ Anh Quân,11%,₫14.080,https://shopee.vn/product/538078718/43704321704,https://s.shopee.vn/3fzjpjFdew
