Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
40711103986,"Vòng lắc eo lò xo JUSTFIT bọc nhựa mềm giảm mỡ nhanh, eo thon săn chắc tập tại nhà tiện lợi","124,0k",80k+,JUSTFIT | CHUẨN VÓC DÁNG,13%,₫16.120,https://shopee.vn/product/231426864/40711103986,https://s.shopee.vn/AADUxTcN2K
2608753400,Kính Cường Lực iPhone KK 4D Cao Cấp Full Màn iPhone 6/6s/7/8/Plus/X/XS/XR/11/12/13/14/15/16/17/Pro/Max/Mini/Air,"21,9k",2tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,23%,₫5.037,https://shopee.vn/product/89827191/2608753400,https://s.shopee.vn/9zu4lAd0NJ
43670888876,"Cây Lau Nhà Tự Vắt KITIMOP CORAL Mã KTMC-01, Chổi Lau Nhà Tự Vắt Thông Minh Xoay 360 Độ, 2 Bông Lau","185,0k",90k+,Kitimop Official Store,7%,₫12.950,https://shopee.vn/product/76219330/43670888876,https://s.shopee.vn/AUqLM5b6MQ
23531197839,"Xịt khử mùi trắng da, mờ thâm Dr.PONG 28D Whitening Drone 100ml","294,0k",50k+,Dr.PONG Việt Nam,4%,₫11.760,https://shopee.vn/product/415205844/23531197839,https://s.shopee.vn/AKWv9mbjhP
23463900701,"Bông Tẩy Trang MÉERY Chính Hãng, Bông Tẩy Trang Meery 205 Miếng 100% Cotton Pads","28,9k",300k+,Harumi - thế giới bông,7%,₫2.024,https://shopee.vn/product/1039266580/23463900701,https://s.shopee.vn/5VRfOtu8VU
29500991688,Quạt tích điện PTLUXURY kẹp bàn mini để bàn có đèn led pin 5000 MHA Và 10000 MHA [ HÀNG CHÍNH HÃNG ],"65,0k",30k+,PLSHARK,4%,₫2.600,https://shopee.vn/product/1157721162/29500991688,https://s.shopee.vn/5L8FCaulqT
24122062625,"Khăn giấy cao cấp treo tường TopGia Tiểu hạ 10 bịch, Giấy vệ sinh treo tường 4 lớp an toàn 6/12 bịch","100,0k",900k+,TopGia HCM,14%,₫14.000,https://shopee.vn/product/729014007/24122062625,https://s.shopee.vn/5q4VnVsrpa
29308749350,"Khẩu trang chống tia UV UNICARE PROOF MASK, bảo vệ da khỏi tia UV - Hàng chính hãng","65,0k",100k+,UNICARE By Việt Nam,13%,₫8.450,https://shopee.vn/product/1072907057/29308749350,https://s.shopee.vn/5fl5bCtVAZ
21391495678,Đồng hồ đeo tay thể thao kỹ thuật số bằng cao su mềm có đèn LED phi hành gia thời trang dành cho nam và nữ,"14,5k",50k+,Tuấn Minh 2018,4%,₫580,https://shopee.vn/product/595016161/21391495678,https://s.shopee.vn/6AhMC7rb9g
26337641149,"Quạt cầm tay mini làm mát bằng bán dẫn, có chức năng chườm lạnh, sạc USB tiện lợi Quạt mini sò lạnh turbo quạt","39,1k",9k+,Obear Home Store,28%,₫10.960,https://shopee.vn/product/1562517796/26337641149,https://s.shopee.vn/60NvzosEUf
26753987726,[LS] Combo 2 Túi Nước Giặt Xả Chanté Cao Cấp 8 Trong 1,"214,0k",200k+,MASAN CONSUMER OFFICIAL,14%,₫29.960,https://shopee.vn/product/987373161/26753987726,https://s.shopee.vn/6VKCajqKTm
26728758506,Điện Thoại Samsung Galaxy A06 5G 4GB/128GB,"2,9tr",10k+,SAMSUNG OFFICIAL STORE,4%,₫116.000,https://shopee.vn/product/65589552/26728758506,https://s.shopee.vn/6L0mOQqxol
43508358436,Combo 20 chân gà rút xương tê cay - ĂN CÙNG BÀ TUYẾT M28,"189,0k",100k+,Ăn Cùng Bà Tuyết,14%,₫26.460,https://shopee.vn/product/279658061/43508358436,https://s.shopee.vn/6px2zLp3ns
25273882315,Quạt cầm tay tích điện mini Jisulife Life 7 5 cấp độ gió 3600/5000mAh - Sử dụng lên đến 12h - Chính hãng - BH 12 tháng,"369,0k",100k+,Jisulife VN Official Store ,6%,₫22.140,https://shopee.vn/product/1048287205/25273882315,https://s.shopee.vn/6fdcn2ph8r
11575337511,Combo 2 Nước giặt OMO Matic Hương Nước Hoa Comfort 4.1KG (túi),"500,0k",200k+,Unilever - Chăm sóc Gia đình,6%,₫30.000,https://shopee.vn/product/26947756/11575337511,https://s.shopee.vn/7AZtNxnn7y
29523079577,TIPONO LM35 [Tặng Charm Ngẫu Nhiên] Dép Sục Nữ EVA Đế Cao 6-7cm Êm Nhẹ Chống Trượt Đi Hằng Ngày,"128,1k",40k+,TIPONO Store Vietnam,17%,₫21.771,https://shopee.vn/product/1448030081/29523079577,https://s.shopee.vn/70GTBeoQSx
42802509340,"Túi màng bọc thực phẩm chất liệu PE treo tường dạng rút TopGia, tiện lợi, có chun co dãn siêu dai","59,0k",400k+,TopGia HCM,14%,₫8.260,https://shopee.vn/product/729014007/42802509340,https://s.shopee.vn/7VCjmZmWS4
56405717617,"Vỏ hút từ trong suốt dành cho điện thoại, phù hợp với các mẫu như 17/16 Pro Max/15 Pro/14 Pro/13 Advanced","20,0k",3k+,Ghi chép nhỏ về vỏ vật,14%,₫2.800,https://shopee.vn/product/1667875279/56405717617,https://s.shopee.vn/7KtJaGn9n3
25136333459,[Chai xịt] Nước xả vải khô HygienC Plus+ dạng xịt thơm quần áo - Dung tích 100ml - XVK1,"24,0k",60k+,HygienC Official Store,14%,₫3.360,https://shopee.vn/product/1171919250/25136333459,https://s.shopee.vn/7ppaBBlFmA
43222203438,Đèn Ngủ Decor Hình Chậu Hoa Dễ Thương Nhiều Màu Có Nút Bấm Tiện Lợi,"9,0k",40k+,Đồ Chơi Huy Hiền,14%,₫1.260,https://shopee.vn/product/1625232572/43222203438,https://s.shopee.vn/7fW9yslt79
26353522299,"Áo Thun Trơn Local Brand VIBESTU , Áo Thun Boxy Form Rộng Unisex 250Gsm 100% Cotton","126,4k",100k+,VIBESTU,17%,₫21.489,https://shopee.vn/product/1173412191/26353522299,https://s.shopee.vn/2g7U1h4vGC
23244410073,"Ốp Lưng iPhone TPU Silicon Mềm 4 Góc Cao Cấp, Chống Sốc, Bảo Vệ Camera - iP 6/7/8/Plus/X/XS/11/12/13/14/15/16/17/Pro/Max","14,9k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,20%,₫2.980,https://shopee.vn/product/89827191/23244410073,https://s.shopee.vn/2qQuE04HvF
27851024179,"Bột vệ sinh lồng máy giặt SAIZA – Combo 3 gói tẩy lồng giặt, khử mùi, làm sạch cặn bẩn, diệt khuẩn","95,0k",600k+,SAIZA.VN,4%,₫3.800,https://shopee.vn/product/1023476268/27851024179,https://s.shopee.vn/30kKQJ3eaI
23936587199,"Xịt Tonic Hasol - Dưỡng Nang Tóc, Hỗ Trợ Mọc Tóc, Ngăn Rụng Dành Cho Tóc Rụng Mỏng Yếu Ha'sol Anagen Active Tonic 100ml","319,0k",400k+,HA'SOL VIỆT NAM,14%,₫44.660,https://shopee.vn/product/978225176/23936587199,https://s.shopee.vn/3B3kcc31FL
26932691195,"Combo 60 miếng dán vết thương, chống nước trong suốt siêu dính","17,0k",50k+,Tổng kho An Vũ,9%,₫1.532,https://shopee.vn/product/163364638/26932691195,https://s.shopee.vn/3LNAov2NuO
10280321597,"Áo thun nam thể thao tập Gym, Tennis, Pickleball Coolmate Basics thoải mái, thấm hút, nhanh khô","99,0k",300k+,Coolmate - Official Store,10%,₫9.900,https://shopee.vn/product/24710134/10280321597,https://s.shopee.vn/3Vgb1E1kZR
51803066546,Thùng 10 Bịch Khăn giấy Rút Bông Sen Việt 4 lớp treo tường 1100 tờ,"65,0k",9k+,Khăn Giấy Uớt,9%,₫5.850,https://shopee.vn/product/78244347/51803066546,https://s.shopee.vn/3g01DX17EU
50901697566,Nhẫn Tiết Kiệm Vàng 24k 0.1 Chỉ Huy Thanh Jewelry (KÈM TÚI GẤM),"2,3tr",10k+,Huy Thanh Jewelry,9%,₫206.496,https://shopee.vn/product/136574250/50901697566,https://s.shopee.vn/3qJRPq0TtX
42874449161,"Quạt Cầm Tay Mini T10 Siêu Mát, Với 3 Tốc Độ Gió Làm Giá Đỡ Điện Thoại Lại Pin Khủng Có Thể Sạc Nhiều Màu Sắc","39,0k",5k+,COURT NATURE STORE,29%,₫11.310,https://shopee.vn/product/1632480189/42874449161,https://s.shopee.vn/40crc8zqYa
25338656379,Vaseline Body Tone-Up Sữa dưỡng thể nâng tông tức thì 300ML,"144,0k",100k+,Unilever Chăm Sóc Sắc Đẹp,10%,₫14.400,https://shopee.vn/product/1397276155/25338656379,https://s.shopee.vn/4AwHoRzDDd
54351598560,"Nước Giặt OMO Matic Cho Quần Áo Bé Yêu 4,1kg/túi","251,0k",100k+,Unilever - Chăm sóc Gia đình,6%,₫15.060,https://shopee.vn/product/26947756/54351598560,https://s.shopee.vn/4LFi0kyZsg
28165355844,[MUA 2 GIẢM 45%] Combo Nước cân bằng sen Hậu Giang (toner) 310ml & Nước tẩy trang bí đao 500ml Cocoon,"329,0k",70k+,Cocoon Vietnam Chính Hãng,12%,₫39.480,https://shopee.vn/product/175753395/28165355844,https://s.shopee.vn/4VZ8D3xwXj
52204564827,Gấu nhỏ hoa văn phù hợp với 17 PROMAX mềm silicon/16/PLUS/X/14/13/12,"20,0k",5k+,LMCASE,14%,₫2.800,https://shopee.vn/product/1679810643/52204564827,https://s.shopee.vn/4fsYPMxJCm
22287079440,KHĂN VẢI KHÔ ĐA NĂNG DÀNH CHO MẸ VÀ BÉ GUMI 300/600/ 900g,"54,0k",200k+,Gumivn,14%,₫7.560,https://shopee.vn/product/801176484/22287079440,https://s.shopee.vn/4qBybfwfrp
41818233297,"[NE50] [Tặng Charm] Dép Sục NESTY Không Thấm Nước, Nhẹ, Êm Chân 3cm Full Size Gia Đình","135,0k",100k+,Nesty Official Store,17%,₫22.950,https://shopee.vn/product/1113586002/41818233297,https://s.shopee.vn/50VOnyw2Ws
16397452838,[Chọn vị] Mì Kokomi Đại 90 Gói - Thùng 30 Gói x 90g,"139,0k",50k+,MASAN CONSUMER OFFICIAL,6%,₫8.340,https://shopee.vn/product/987373161/16397452838,https://s.shopee.vn/5Aop0HvPBv
14563509948,"Áo thun nam ngắn tay TORANO chất Cotton mát lạnh thoáng khí,co giãn thoải mái, thấm hút mồ hôi FSTS001","160,0k",100k+,TORANO Official Store,9%,₫14.400,https://shopee.vn/product/835435/14563509948,https://s.shopee.vn/16iqnF4fw
26617618076,Son Kem 3CE Cho Viền Môi Mờ Ảo Không Lem Blur Water Tint 4.6g,"322,0k",500k+,3CE Official Store,9%,₫28.980,https://shopee.vn/product/1362679168/26617618076,https://s.shopee.vn/BQ936ERKz
28823524222,"LOVIVISAIGON/Mũ kết bóng chày nam nữ thể thao thêu gấu bắc cực, nón lưỡi trai chống năng form vải mềm","33,0k",20k+,Lovivi SG,9%,₫2.970,https://shopee.vn/product/699804116/28823524222,https://s.shopee.vn/LjZFPDo02
42300402767,"Miếng Dán Dính Điện Thoại Silicon 2 Mặt, Tấm Hít Điện Thoại 48/80 Giác Hút,Miếng Hút Silicon Cố Định","11,9k",20k+,FAMILY86,10%,₫1.190,https://shopee.vn/product/40246675/42300402767,https://s.shopee.vn/W2zRiDAf5
