Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
20917937704,Tất cổ trung Cotton thoáng khí khử mùi mới Coolmate,"38,0k",50k+,Coolmate - Official Store,10%,₫3.800,https://shopee.vn/product/24710134/20917937704,https://s.shopee.vn/3B3kcjbNnS
26320552822,Áo Phông Baby Tee ECOCHIC Chữ Dập Nổi Chất Liệu Thun Mỹ Vừa Vặn Local Brand Chính Hãng B120,"189,0k",200k+,ECOCHIC VIỆT NAM,15%,₫28.350,https://shopee.vn/product/1032442043/26320552822,https://s.shopee.vn/30kKQQc18R
42200327012,Túi refill sữa rửa mặt giúp làm sạch sâu và kiềm dầu Cerave Foaming Cleanser 473ML,"415,0k",70k+,CeraVe Official Store,12%,₫49.800,https://shopee.vn/product/812449960/42200327012,https://s.shopee.vn/7KtJaOLWLI
7053459788,"Hạt Chia DK Harvest hũ 500g - Nhập Khẩu Ấn Độ | Giàu Omega-3, Hỗ Trợ Giảm Cân, Độ Tinh Khiết Cao","53,0k",90k+,DK HARVEST OFFICIAL STORE,14%,₫7.420,https://shopee.vn/product/273650958/7053459788,https://s.shopee.vn/7VCjmhKt0L
12459208036,Hộp đựng tăm nhấn tự bật thông minh C20,"14,1k",10k+,Gia Dụng Đất Mới,7%,₫985,https://shopee.vn/product/107331805/12459208036,https://s.shopee.vn/7fW9z0KFfO
52254886155,Áo sơ mi khoá cổ trụ chất gió Miho House,"110,0k",10k+,miho.house,14%,₫15.400,https://shopee.vn/product/5570691/52254886155,https://s.shopee.vn/7ppaBJJcKR
25836902721,Kem Sâm Thorakao Tái Tạo Da Sáng Khỏe 7G,"49,0k",1tr+,THORAKAO CHÍNH HÃNG   ,12%,₫5.880,https://shopee.vn/product/1345246829/25836902721,https://s.shopee.vn/6fdcnAO3hE
9600483333,Túi Xách Nữ Xuất Khẩu,"15,0k",4,chanhthaaaaaa,7%,₫1.050,https://shopee.vn/product/160519462/9600483333,https://s.shopee.vn/6px2zTNQMH
28238935300,Quần Short ngắn nữ Denim Mood cạp trễ Calem.Club chất liệu Jean dáng ngắn trên gối phong cách trẻ trung năng động,"130,0k",50k+,CALEM.CLUB,14%,₫18.200,https://shopee.vn/product/10909571/28238935300,https://s.shopee.vn/70GTBmMn1K
52257463568,"A3 Aimesaigon Áo Thun Big Boxy Local Brand Form Rộng Tay Ngắn Cotton 250gsm ""FOOD"" Nam Nữ Menswear Kem Unisex Mùa Hè","159,1k",8k+,aimesaigon.studio,12%,₫19.097,https://shopee.vn/product/1050919141/52257463568,https://s.shopee.vn/7AZtO5M9gN
11803133757,Deal 1K - Gói 100 hạt giống rau cải chíp (cải chít) - Dự án Tập vườn cùng Tạ Gia Trang,"1,0k",0,xaa_nym4_c,4%,₫40,https://shopee.vn/product/383864011/11803133757,https://s.shopee.vn/60NvzwQb3A
40003044122,( 39kg-62kg KÈM MÚT) Áo Hai Dây Bản Nhỏ Phong Cách Cá Tính Co Dãn 4 Chiều BYJANE-525,"49,5k",70k+,BYJANE.HN,15%,₫7.425,https://shopee.vn/product/1514216378/40003044122,https://s.shopee.vn/6AhMCFPxiD
23645838754,"Găng tay đa năng chống UV, găng tay thể thao co giãn, thấm hút mồ hôi tốt Coolmate","99,0k",90k+,Coolmate - Official Store,10%,₫9.900,https://shopee.vn/product/24710134/23645838754,https://s.shopee.vn/6L0mOYPKNG
5616513878,Dây dán Velcro tiên lợi Ugreen LP146 Tiện dụng đa năng | Bảo Hành 18 Tháng 1 Đổi 1 50370,"8,0k",200k+,Ugreen VN Official Store,6%,₫480,https://shopee.vn/product/130938115/5616513878,https://s.shopee.vn/6VKCarOh2J
20783900011,Phấn phủ nén làm đều màu da MENOW Rabbit Compact Powder 8.5gr,"165,0k",100k+,MENOW Official,14%,₫23.100,https://shopee.vn/product/280778267/20783900011,https://s.shopee.vn/5L8FCiT8P6
52608168934,[ HOT] QUÀ TẶNG KHÔNG BÁN,"30,0k",10k+,phukienchinhhang2256,14%,₫4.200,https://shopee.vn/product/1019076274/52608168934,https://s.shopee.vn/5VRfP1SV49
42106469282,"[GIÁ TỐT] Bỉm HONEY PREMIUM Thấm Hút, Mềm Mịn, An Toàn Cho Bé Đủ Size","238,0k",20k+,Min Ti Shop,4%,₫9.520,https://shopee.vn/product/2561951/42106469282,https://s.shopee.vn/5fl5bKRrjC
42578015070,[LIVE] Sữa Tắm Lifebuoy 800gr Detox Và Sạch Sâu Khỏi Bụi Mịn Pm2.5 Detox 100% Từ Thiên Nhiên Diệt Khuẩn,"210,6k",10k+,Unilever - Chăm Sóc Cá Nhân,12%,₫25.272,https://shopee.vn/product/111138057/42578015070,https://s.shopee.vn/5q4VndREOF
24401011243,[HC Gift] Túi viên giặt tiện lợi OMO 3 trong 1 (4 viên/túi) (mẫu ngẫu nhiên),"200,0k",500k+,Unilever - Chăm sóc Gia đình,4%,₫8.000,https://shopee.vn/product/26947756/24401011243,https://s.shopee.vn/9zu4lIBMw4
8303527198,"Cà Phê Truyền Thống Phin Đậm 500g, cafe đậm mạnh, thơm nồng, hậu đậm, Phương Vy Coffee","87,0k",300k+,Phương Vy Official Store,4%,₫3.480,https://shopee.vn/product/293553341/8303527198,https://s.shopee.vn/AADUxbAjb7
29861080594,"Bát Sứ Nơ Xinh, Bộ Bát Sứ Bò Sữa, Heo Hồng, Mèo Vàng Sét 2 Bát 2 Thìa Bát Ăn Dặm Cao Cấp Cho Bé Dễ Thương","24,0k",20k+,Đồ Dùng Thông Minh Gia Đình,6%,₫1.440,https://shopee.vn/product/442499962/29861080594,https://s.shopee.vn/AKWv9uA6GA
27415984035,"MLEN DIARY Miếng Dán Kích Mí Tàng Hình Phù Hợp Mọi Dáng Mắt, Không Lộ Cả Khi Không Makeup","56,0k",100k+,MLEN DIARY OFFICIAL STORE ,11%,₫6.160,https://shopee.vn/product/1098753018/27415984035,https://s.shopee.vn/AUqLMD9SvD
57353679190,Xịt Body Koai 200ml Nâng Tone Tức Thì | Dưỡng Sáng Da Tự Nhiên | Chống Nước Không Bết Rít,"209,0k",6k+,KOAI Vietnam,13%,₫27.170,https://shopee.vn/product/1430281665/57353679190,https://s.shopee.vn/9KeNy4DuI0
43206654280,"Thạch trà sữa Mr. Jelly 15 vị nhân sốt thơm ngon, thạch trái cây tự nhiên, nguyên liệu pha chế 2.13kg, topping trà sữa","114,9k",4k+,BÁCH HOÁ SUPERSTORE,19%,₫21.836,https://shopee.vn/product/43032052/43206654280,https://s.shopee.vn/9UxoANDGx3
8593375810,[ Rẻ nhất ]0907 CHUN BUỘC TÓC 1K SIÊU DAI dinh.long8063,"1,0k",9,dinh.long8063,7%,₫70,https://shopee.vn/product/468569262/8593375810,https://s.shopee.vn/9fHEMgCdc6
49203279664,"MILAI Mua 3 hộp tặng nhíp, mua 5 hộp tặng kẹp mi","27,7k",20k+,MILAI Lông mi giả,4%,₫1.109,https://shopee.vn/product/1695895484/49203279664,https://s.shopee.vn/9paeYzC0H9
43801084859,HÀNG TẶNG KHÔNG BÁN - Gel tắm đường thốt nốt An Giang Cocoon 50ml,"44,0k",100k+,Cocoon Vietnam Chính Hãng,12%,₫5.280,https://shopee.vn/product/175753395/43801084859,https://s.shopee.vn/8fOhAqGRdw
41923981602,ÁO BÍ TRỄ VAI MẶC DC NHIÊU KIỂU,"79,0k",9k+,Diệu Minh store,12%,₫9.480,https://shopee.vn/product/220239455/41923981602,https://s.shopee.vn/8pi7N9FoIz
19787998337,Áo Thun Trơn Cotton 250gsm GODMOTHER Premium Full Color Cổ Tròn Nam Nữ,"114,0k",900k+,GODMOTHER,11%,₫12.540,https://shopee.vn/product/703090265/19787998337,https://s.shopee.vn/901XZSFAy2
1147054701,"Máy dập xù GALI bấm xù , bấm phồng tạo kiểu tóc làm phồng chân tóc bản to cao cấp younggali - 288 Galistore","159,0k",500k+,Galistore,8%,₫12.720,https://shopee.vn/product/60610683/1147054701,https://s.shopee.vn/9AKxllEXd5
16590407739,DRCEUTICS Dung Dịch Loại Bỏ Tế Bào Chết Basic BHA 2% In Alcohol - Nền Cồn (100ml - 200ml),"117,6k",100k+,DrCeutics Official Store,9%,₫10.584,https://shopee.vn/product/473985496/16590407739,https://s.shopee.vn/8090NcIyzs
29919807459,"Gạo ST25 Lúa Mới Vua Gạo Túi 5kg – Chính Hãng Gạo Thơm Ngon, Dẻo Nhiều, Vị Đậm Đà","159,0k",30k+,Vua Gạo Official Store,9%,₫14.310,https://shopee.vn/product/96471767/29919807459,https://s.shopee.vn/8ASQZvILev
6974065327,[Only 1K] - 50 Hạt giống xà lách chịu nhiệt Minetto - Làm vườn tập sự cùng Tạ Gia Trang,"1,0k",7,hoangthuieu,4%,₫40,https://shopee.vn/product/202295923/6974065327,https://s.shopee.vn/8KlqmEHiJy
6747253379,[BULSAN] Bông Tẩy Trang Hữu Cơ Ceiba Organic Tree 80 Miếng Hasaki Sản Phẩm Chính Hãng,"30,0k",6k+,HASAKI VIETNAM,10%,₫3.000,https://shopee.vn/product/18644537/6747253379,https://s.shopee.vn/8V5GyXH4z1
25272248210,Sữa Rửa Mặt Compliment No Problem Giúp Giảm Mụn Cho Da Nhạy Cảm 200ml,"74,0k",30k+,HIBANA COSMETIC,6%,₫4.440,https://shopee.vn/product/89266543/25272248210,https://s.shopee.vn/20rnEafpAm
